업종코드,업종명,기준분기,매출금액,매출건수,남성매출,여성매출,연령10,연령20,연령30,연령40,연령50,연령60이상,주중매출,주말매출
CS200006,일반의원,20222,1602065282680,42388750,596923446798,1001085801657,4078602131,210453068491,351835628787,356582323429,352427138042,322632405409,1350049530484,252015752196
CS200006,일반의원,20223,1603247870829,44547105,601437652142,997406806197,4652279215,219165678341,350473022886,364046004889,354938013958,305569776481,1373982161279,229265709550
CS200006,일반의원,20224,1720138125745,47848434,659829048244,1053713418180,5972241730,213524968627,359438210744,410583291404,388740738403,335282841184,1433551485534,286586640211
CS200006,일반의원,20231,1764738783166,43795989,664607941268,1096582894342,2808327109,199255159466,378163608785,402732061778,415246930480,362984705094,1514015487528,250723295638
CS200006,일반의원,20232,1775974224344,49783197,671360418002,1100624500248,4384298665,207512113760,389275993425,419628412347,388135829721,363050453995,1514633253681,261340970663
CS200006,일반의원,20233,1757903327632,46702772,662908566463,1090788450594,4419369657,208823306541,381459836338,414282072387,391930945310,352780150857,1474426017467,283477310165
CS200006,일반의원,20234,1924125754338,51258072,749652763023,1168472210852,6088603772,214646514862,400304252845,476180393682,433531671978,387373536494,1613658336002,310467418336
CS200006,일반의원,20241,1898850589534,45785255,716937646256,1177858034871,2509160760,192286585742,403773014311,436646310638,448884319450,410696311173,1610427329572,288423259962
CS200006,일반의원,20242,1797719886363,46250780,688434261181,1105648531963,3649850201,187938130267,387402992737,412273224659,399190326591,403628230754,1511815817288,285904069075
CS200006,일반의원,20243,1804261777135,45840354,682842187111,1117253690563,4254759686,195740876470,385192960735,417160931213,404200990446,393545297637,1507298440527,296963336608
CS200006,일반의원,20244,1929680648368,48916922,752422475208,1169612349387,5211452772,191907981054,396890263576,459897008337,440011008348,428117110200,1621246306574,308434341794
CS200006,일반의원,20251,1969386639507,43910237,755544961391,1209353920265,2359835720,175104574008,425156729587,451301345666,463687631896,447288764983,1637723674677,331662964830
CS200006,일반의원,20252,1875310398880,43854625,721928470379,1148201812381,3334978917,177313630010,404691102538,429412034118,413623596186,441754897667,1568967763851,306342635029
CS200006,일반의원,20253,1957296178735,43286099,752705225512,1198865638861,4175697249,192592273321,417804707826,444113754077,441521310490,451363362013,1645886865278,311409313457
CS200006,일반의원,20254,2122140088966,46103441,825333963324,1289663610056,4954483509,201550865511,439456842133,506366014874,481212247023,481455129681,1767588008756,354552080210
CS200006,일반의원,20261,2126154998250,43776129,819817961336,1302961023684,2286756484,171341837179,440633078115,489860025504,502619965542,516037251353,1749376049373,376778948877
CS100003,일식음식점,20211,238728662661,6564337,107244676933,69218856726,1674418610,47193831168,49520041398,34730816577,28380041148,14964318947,186299385917,52429276744
CS100003,일식음식점,20212,279495901606,7735641,125018975182,84174144423,2133707183,55923759152,59096998477,41211774672,32864139310,17962702308,218080871523,61415030083
CS100003,일식음식점,20213,236901164197,7092667,108924641918,72644172424,2269975720,51114137464,49382480519,34548582666,28040346088,16213291905,184876003647,52025160550
CS100003,일식음식점,20214,305823487528,7755166,133479564615,91590753336,3046106708,64513348992,62119785844,42258431693,33497772685,19635339767,238268417493,67555070035
CS100003,일식음식점,20221,250914972888,6622096,111364071896,76527319192,2033829420,49163179198,54321175246,35019266858,29878059783,17475880653,193835088210,57079884678
CS100003,일식음식점,20222,319685695587,8007743,141525546965,99673402114,2477920315,59965731802,70758854546,47099020795,37728576776,23169717009,244434799437,75250896150
CS100003,일식음식점,20223,309205992598,7803833,136959785378,99309117867,2660213768,61623864407,68230166469,46222150888,36205479854,21327027877,239754173422,69451819176
CS100003,일식음식점,20224,334344749523,7819090,144486840829,105308405259,3253336439,65714291065,71713302021,47641406214,38016812171,23456098261,253284956616,81059792907
CS100003,일식음식점,20231,317456907863,7486228,138993026406,102235365405,2182024798,57113341243,74215953521,47282107489,37539717587,22895247200,247348911704,70107996159
CS100003,일식음식점,20232,316078872177,7822589,137642279628,102863253352,2596852653,56775427776,71995324796,47367950486,37591473733,24178503497,241759680145,74319192032
CS100003,일식음식점,20233,297663924024,7466275,130935383669,96502311353,2653559093,55033250822,67416784852,45047267038,35869965068,21416172329,225631638423,72032285601
CS100003,일식음식점,20234,301425119481,7190648,129397108070,95467098732,3259245557,55902168081,65078514405,43727924143,34713293938,22183060728,228236018847,73189100634
CS100003,일식음식점,20241,281558685301,6748473,123290465544,91144219549,1935590873,47159913887,67112010020,42266401758,34276326767,21682766503,215225376436,66333308865
CS100003,일식음식점,20242,283576871188,7079652,123450513320,92989531329,2263815627,47126928975,65417036666,42835392816,35249902061,23546968535,218038244025,65538627163
CS100003,일식음식점,20243,268041089895,6731520,117178897423,86616098308,2238173975,45069654238,61336838359,41208382915,32690857352,21250840738,206064975625,61976114270
CS100003,일식음식점,20244,286778302805,6643257,122112110612,90027298651,2723702869,48075251046,63084947829,41309098494,34347602748,22598885492,221751496460,65026806345
CS100003,일식음식점,20251,255162555638,5985246,111028348377,80784182004,1720192134,39054590875,60588865542,38305434382,31190143748,20953234920,193597004776,61565550862
CS100003,일식음식점,20252,262843337918,6437629,114074384197,83575244540,2079962157,40574508389,60574650007,39315317980,31973599603,23131519330,202464435767,60378902148
CS100003,일식음식점,20253,297999322164,7217934,129625126144,96186746148,2473822451,48978216971,69793997735,44785709263,35810053602,23970072267,228391110577,69608211588
CS100003,일식음식점,20254,300611323126,6659696,130531557262,93885828276,2691507332,48318794320,67701273049,43946311118,36495564724,25263934958,230559474843,70051848283
CS100003,일식음식점,20261,270642848865,6123175,119699025928,84804844110,1626843058,38860361101,64404920050,40861400179,34857382586,23892963117,203598463387,67044385478
CS200026,자동차미용,20211,12177276394,218646,7125436397,2081595312,1611112,474567731,2385761711,2690753876,2007847721,1645909078,8886264011,3291012383
CS200026,자동차미용,20212,12865760060,214373,7200709215,2288055568,648427,549277605,2650384250,2847722265,1907504379,1533227828,9730825861,3134934199
CS200026,자동차미용,20213,13131865245,199653,7248462170,2756950219,2660034,696067133,2540141585,2854906727,2067045471,1844591444,9827454952,3304410293
CS200026,자동차미용,20214,13498819478,220208,7294272696,2847004193,3382536,710921504,2631594102,2792650838,2155504671,1847195699,10372247293,3126572185
CS200026,자동차미용,20221,13378755715,233184,7196277424,2900694218,1114112,424500488,2544423866,3062925687,2421657477,1642350033,10044318801,3334436914
CS200026,자동차미용,20222,14706548028,228111,8151685358,2846377529,4488838,458069544,2640134049,3723020888,2577657211,1600070142,11338799674,3367748354
CS200026,자동차미용,20223,13636213152,189586,7005740317,2817159642,707344,427558485,2520706524,3004101534,2278028313,1591797753,10950274156,2685938996
CS200026,자동차미용,20224,14535378235,216972,7722555564,2745533516,3449918,469691838,2403282424,3283319867,2662133659,1646192850,11005977149,3529401086
CS200026,자동차미용,20231,14355747891,232000,7117759108,3296626602,1508194,348149133,2270114140,3129925996,2522861943,2141826293,11404737040,2951010851
CS200026,자동차미용,20232,12956824560,189654,6593134821,2442668526,1561639,291773368,2136760087,2725406258,2328707751,1551594233,10408729492,2548095068
CS200026,자동차미용,20233,13268321971,161869,7189368218,2379197498,949018,611890782,2082798274,3133979360,2172496691,1565845677,10196332827,3071989144
CS200026,자동차미용,20234,14588840212,183083,7613291704,2807882475,32783324,477095546,2303696731,2940259030,2595103196,2072613706,11622828024,2966012188
CS200026,자동차미용,20241,14291482502,210630,7091150881,2855115967,450792,280020522,2300973965,3012546878,2618118539,1734156152,10651198759,3640283743
CS200026,자동차미용,20242,15183962812,202868,7329400312,3230557349,0,316119192,2484061450,2853785277,2640459735,2265532006,12363586140,2820376672
CS200026,자동차미용,20243,12556906369,152179,6482547385,2541514793,1437644,267114388,1875185696,2643943206,2285298395,1954107838,9300330101,3256576268
CS200026,자동차미용,20244,15646377103,196302,7949684512,3113149378,305543,383084294,2634838686,3202952944,2455947619,2385704817,12489045853,3157331250
CS200026,자동차미용,20251,14917419229,203514,7477130674,2785729347,471106,220233344,2593841819,2820117633,2478213703,2149982420,11079822035,3837597194
CS200026,자동차미용,20252,13548281049,177170,6369179250,2578212681,73047,241751088,1883056153,2549218865,2279246085,1994000961,10912273424,2636007625
CS200026,자동차미용,20253,13342183989,158549,6497698032,2766515894,902268,340702841,2211083234,2671002569,2063959669,1976563345,10682133703,2660050286
CS200026,자동차미용,20254,15337566967,188013,7407033972,3322043201,348722,295510138,2136317871,3180390756,2653161807,2463312296,12333128047,3004438920
CS200026,자동차미용,20261,15810127250,223619,7688941592,3095438406,157140,270938982,2035856456,3114808569,2552620230,2809998611,11676228838,4133898412
CS200025,자동차수리,20211,231842978744,1422580,147187527184,51645401160,12270535,8514569341,36614057374,49628089533,55519433419,48543565375,191023493681,40819485063
CS200025,자동차수리,20212,264554004490,1542935,168066006549,58953320493,21230023,9232042888,43710698923,57168602635,63114206957,53772690116,219233679421,45320325069
CS200025,자동차수리,20213,294829292505,1706081,190604754774,64945599545,35662910,12191898051,48531521696,64785191680,69901341604,60108281910,244931044905,49898247600
CS200025,자동차수리,20214,281047793241,1644627,176559470319,64641562441,59359244,12066302918,46300029279,61313973571,65319740995,56141473708,236202830575,44844962666
CS200025,자동차수리,20221,234461126652,1367595,149796538125,51540190238,41365080,7903292383,35466170505,49574383795,56384509546,51990382916,195270624208,39190502444
CS200025,자동차수리,20222,264258434819,1481320,169968637193,56415895032,36959007,8440613852,39692567519,56872467631,62649480327,58692985990,222954527456,41303907363
CS200025,자동차수리,20223,286564078563,1587733,183237599309,63947115841,24428483,9817318713,45273469699,60673516346,69082828900,62308063885,243887225005,42676853558
CS200025,자동차수리,20224,291341131791,1665890,183770822625,63710277322,34507916,11047648021,45074092976,61352628262,70342575168,59624346501,242997845624,48343286167
CS200025,자동차수리,20231,259767184182,1454440,167425767600,55612859843,6300191,7564934153,38699462041,54837331012,61371880579,60559546902,222350861302,37416322880
CS200025,자동차수리,20232,275896914289,1443301,175745744126,60629731114,43690931,7754893626,38831769028,57701644562,66553127529,65503378883,236482847138,39414067151
CS200025,자동차수리,20233,295541595685,1501538,186577936245,69078873672,26668229,8931085554,42446454131,60680944096,74298416775,69266311834,249673020829,45868574856
CS200025,자동차수리,20234,298731445650,1602916,189126367030,64244053313,24541645,9350458009,43743027451,59969534773,70187131502,70098560024,254951944429,43779501221
CS200025,자동차수리,20241,266224453262,1378237,171986325446,57656471600,4061558,6754559363,39232002241,52368054194,66771477724,64518829354,227514164938,38710288324
CS200025,자동차수리,20242,293661382972,1446326,189509483255,63483712602,34471727,7820405970,42121147384,58045731058,71310575738,73673936024,252500385359,41160997613
CS200025,자동차수리,20243,302092511511,1466279,193388521859,66840196079,23717253,8701508776,43615544369,60750703743,71897566828,75230974995,260508422959,41584088552
CS200025,자동차수리,20244,302742883916,1573021,189320211645,66941100131,36897539,8822697506,43159337153,59441932573,72717014976,72066540303,261968478082,40774405834
CS200025,자동차수리,20251,267798126803,1357833,172063940493,58081785025,20220669,5584439578,37549496959,52545268212,65716637472,68728800420,227577868139,40220258664
CS200025,자동차수리,20252,285272992302,1404069,181320229904,64065761979,46297591,5967647953,39204582023,56269672075,69715945384,74185105397,248284093234,36988899068
CS200025,자동차수리,20253,316102741064,1522113,202601896198,71013461584,65821169,7645788866,45353695496,63638636353,77083575829,79820820437,276428295863,39674445201
CS200025,자동차수리,20254,309445460853,1542117,196406743352,67855501622,37436574,8002956269,41163132959,59550003177,73821829361,81689654120,269403941537,40041519316
CS200025,자동차수리,20261,277353982339,1341376,177444899763,61085678772,39521135,5778345724,38173849739,52749936964,65412277647,76374620949,238326727663,39027254676
CS300025,자전거 및 기타운송장비,20211,39793090827,237696,30282072005,7490544042,125044699,2840490314,9641887493,11391405952,8169948534,5604940971,22636009852,17157080975
CS300025,자전거 및 기타운송장비,20212,66936735940,416624,48902958726,13085020554,175678902,5021028716,14783344726,20010956402,13984040312,8012930234,40404251671,26532484269
CS300025,자전거 및 기타운송장비,20213,63250758920,459271,47692163316,13284329779,234459938,5134031707,15712933442,19141886394,12715259811,8037660763,40521655116,22729103804
CS300025,자전거 및 기타운송장비,20214,36752537104,258214,25748142910,7448521635,168277071,2550900274,6586536767,10302300463,8047589204,5541060761,23778668648,12973868456
CS300025,자전거 및 기타운송장비,20221,35456968934,207376,26088939056,5990091658,95919482,2138251510,7847715541,10075819865,7713311563,4205313815,21613603103,13843365831
CS300025,자전거 및 기타운송장비,20222,56500179437,377469,39850818550,12111708196,195793964,2778629855,10121815344,16899097254,12955374397,9011256693,36067440396,20432739041
CS300025,자전거 및 기타운송장비,20223,43739726147,337825,31287995882,9763441391,160899596,2156444252,8405594708,12036702969,10072412172,8219068386,29450473752,14289252395
CS300025,자전거 및 기타운송장비,20224,31488250972,235272,23270755908,5371844120,172118857,1118464926,7637704048,8553208314,6000974805,5166046010,20761199951,10727051021
CS300025,자전거 및 기타운송장비,20231,32054502590,210593,22317677733,7688890641,105878207,783022077,5023411221,10766356522,7295845238,6032055103,22725814422,9328688168
CS300025,자전거 및 기타운송장비,20232,46714957511,324477,34835034217,9173579098,124848942,2579493214,7797726139,15982784819,10275246348,7248513848,31848087358,14866870153
CS300025,자전거 및 기타운송장비,20233,41653996037,285000,30012188727,8734942270,154274382,1528178109,6728414528,12944308538,8823799512,8567783811,27978052443,13675943594
CS300025,자전거 및 기타운송장비,20234,28082362535,223237,21004106115,4961332072,77629177,803233225,3963509242,10207600847,5146187098,5766827274,18278877499,9803485036
CS300025,자전거 및 기타운송장비,20241,26569487215,169479,20189238716,5267486292,83614154,948147294,3482042293,9284047350,6440891956,5217981963,15312777961,11256709254
CS300025,자전거 및 기타운송장비,20242,46384303076,319525,32565399242,10559609602,73501942,1778162136,8584219899,14163812054,9028817320,9497010715,28218415956,18165887120
CS300025,자전거 및 기타운송장비,20243,35048678247,277699,24692800812,8392780775,117603211,1167446516,6442136513,9099918688,7554661916,8703814746,21030871846,14017806401
CS300025,자전거 및 기타운송장비,20244,22641338519,216227,14635221889,4980573070,94920818,738820837,2113046638,5660871807,5697559731,5310418189,14011247529,8630090990
CS300025,자전거 및 기타운송장비,20251,23649903790,156103,17736597528,4101635717,67730088,755927796,2866105750,8803696298,5627584931,3723286372,13573689653,10076214137
CS300025,자전거 및 기타운송장비,20252,35437913883,277570,25612770677,7769141210,125701239,1375420087,5329802543,10488987485,8110535911,7951464621,22348358595,13089555288
CS300025,자전거 및 기타운송장비,20253,34114191092,283517,23876884999,7105797165,115472045,767296601,3164885416,12375439627,7712739023,6846849436,20259548399,13854642693
