소분류코드,소분류명,시도코드,시도명,시군구코드,시군구명,사업체수
G20404,슈퍼마켓,11,서울특별시,11470,양천구,309
G20404,슈퍼마켓,11,서울특별시,11500,강서구,432
G20404,슈퍼마켓,11,서울특별시,11530,구로구,431
G20404,슈퍼마켓,11,서울특별시,11545,금천구,277
G20404,슈퍼마켓,11,서울특별시,11560,영등포구,479
G20404,슈퍼마켓,11,서울특별시,11590,동작구,252
G20404,슈퍼마켓,11,서울특별시,11620,관악구,361
G20404,슈퍼마켓,11,서울특별시,11650,서초구,266
G20404,슈퍼마켓,11,서울특별시,11680,강남구,379
G20404,슈퍼마켓,11,서울특별시,11710,송파구,420
G20404,슈퍼마켓,11,서울특별시,11740,강동구,353
G20405,편의점,11,서울특별시,11110,종로구,286
G20405,편의점,11,서울특별시,11140,중구,363
G20405,편의점,11,서울특별시,11170,용산구,265
G20405,편의점,11,서울특별시,11200,성동구,285
G20405,편의점,11,서울특별시,11215,광진구,373
G20405,편의점,11,서울특별시,11230,동대문구,348
G20405,편의점,11,서울특별시,11260,중랑구,335
G20405,편의점,11,서울특별시,11290,성북구,330
G20405,편의점,11,서울특별시,11305,강북구,265
G20405,편의점,11,서울특별시,11320,도봉구,239
G20405,편의점,11,서울특별시,11350,노원구,316
G20405,편의점,11,서울특별시,11380,은평구,326
G20405,편의점,11,서울특별시,11410,서대문구,299
G20405,편의점,11,서울특별시,11440,마포구,511
G20405,편의점,11,서울특별시,11470,양천구,273
G20405,편의점,11,서울특별시,11500,강서구,529
G20405,편의점,11,서울특별시,11530,구로구,337
G20405,편의점,11,서울특별시,11545,금천구,294
G20405,편의점,11,서울특별시,11560,영등포구,502
G20405,편의점,11,서울특별시,11590,동작구,300
G20405,편의점,11,서울특별시,11620,관악구,406
G20405,편의점,11,서울특별시,11650,서초구,481
G20405,편의점,11,서울특별시,11680,강남구,803
G20405,편의점,11,서울특별시,11710,송파구,583
G20405,편의점,11,서울특별시,11740,강동구,346
G20499,그 외 기타 종합 소매업,11,서울특별시,11110,종로구,59
G20499,그 외 기타 종합 소매업,11,서울특별시,11140,중구,73
G20499,그 외 기타 종합 소매업,11,서울특별시,11170,용산구,25
G20499,그 외 기타 종합 소매업,11,서울특별시,11200,성동구,43
G20499,그 외 기타 종합 소매업,11,서울특별시,11215,광진구,36
G20499,그 외 기타 종합 소매업,11,서울특별시,11230,동대문구,36
G20499,그 외 기타 종합 소매업,11,서울특별시,11260,중랑구,22
G20499,그 외 기타 종합 소매업,11,서울특별시,11290,성북구,32
G20499,그 외 기타 종합 소매업,11,서울특별시,11305,강북구,21
G20499,그 외 기타 종합 소매업,11,서울특별시,11320,도봉구,31
G20499,그 외 기타 종합 소매업,11,서울특별시,11350,노원구,26
G20499,그 외 기타 종합 소매업,11,서울특별시,11380,은평구,27
G20499,그 외 기타 종합 소매업,11,서울특별시,11410,서대문구,32
G20499,그 외 기타 종합 소매업,11,서울특별시,11440,마포구,63
G20499,그 외 기타 종합 소매업,11,서울특별시,11470,양천구,22
G20499,그 외 기타 종합 소매업,11,서울특별시,11500,강서구,49
G20499,그 외 기타 종합 소매업,11,서울특별시,11530,구로구,41
G20499,그 외 기타 종합 소매업,11,서울특별시,11545,금천구,26
G20499,그 외 기타 종합 소매업,11,서울특별시,11560,영등포구,41
G20499,그 외 기타 종합 소매업,11,서울특별시,11590,동작구,31
G20499,그 외 기타 종합 소매업,11,서울특별시,11620,관악구,36
G20499,그 외 기타 종합 소매업,11,서울특별시,11650,서초구,57
G20499,그 외 기타 종합 소매업,11,서울특별시,11680,강남구,73
G20499,그 외 기타 종합 소매업,11,서울특별시,11710,송파구,49
G20499,그 외 기타 종합 소매업,11,서울특별시,11740,강동구,22
G20501,곡물/곡분 소매업,11,서울특별시,11110,종로구,12
G20501,곡물/곡분 소매업,11,서울특별시,11140,중구,11
G20501,곡물/곡분 소매업,11,서울특별시,11170,용산구,5
G20501,곡물/곡분 소매업,11,서울특별시,11200,성동구,10
G20501,곡물/곡분 소매업,11,서울특별시,11215,광진구,10
G20501,곡물/곡분 소매업,11,서울특별시,11230,동대문구,14
G20501,곡물/곡분 소매업,11,서울특별시,11260,중랑구,24
